definition,file,count
http://w3id.org/glosis/model/codelists/rootsAbundanceValueCode,values/rootsAbundanceValueCode.csv,5
http://w3id.org/glosis/model/codelists/saltContentValueCode,values/saltContentValueCode.csv,6
http://w3id.org/glosis/model/codelists/saltCoverValueCode,values/saltCoverValueCode.csv,5
http://w3id.org/glosis/model/codelists/saltThicknessValueCode,values/saltThicknessValueCode.csv,5
http://w3id.org/glosis/model/codelists/sandyTextureValueCode,values/sandyTextureValueCode.csv,10
http://w3id.org/glosis/model/codelists/sealingConsistenceValueCode,values/sealingConsistenceValueCode.csv,4
http://w3id.org/glosis/model/codelists/sealingThicknessValueCode,values/sealingThicknessValueCode.csv,5
http://w3id.org/glosis/model/codelists/slopeFormValueCode,values/slopeFormValueCode.csv,5
http://w3id.org/glosis/model/codelists/slopeGradientClassValueCode,values/slopeGradientClassValueCode.csv,10
http://w3id.org/glosis/model/codelists/slopePathwaysValueCode,values/slopePathwaysValueCode.csv,9
http://w3id.org/glosis/model/codelists/stickinessValueCode,values/stickinessValueCode.csv,6
http://w3id.org/glosis/model/codelists/structureGradeValueCode,values/structureGradeValueCode.csv,5
http://w3id.org/glosis/model/codelists/structureSizeValueCode,values/structureSizeValueCode.csv,6
http://w3id.org/glosis/model/codelists/surfaceAgeValueCode,values/surfaceAgeValueCode.csv,14
http://w3id.org/glosis/model/codelists/vegetationClassValueCode,values/vegetationClassValueCode.csv,29
http://w3id.org/glosis/model/codelists/voidsClassificationValueCode,values/voidsClassificationValueCode.csv,5
http://w3id.org/glosis/model/codelists/voidsDiameterValueCode,values/voidsDiameterValueCode.csv,8
http://w3id.org/glosis/model/codelists/weatherConditionsValueCode,values/weatherConditionsValueCode.csv,12
http://w3id.org/glosis/model/codelists/weatheringValueCode,values/weatheringValueCode.csv,3
