name,guid,definition,values_count,values_preview,values_file
Phoret,5d699ce2-35d1-44e7-a2d2-4b3d11d4a00b,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Phoret,0,,
Photot,53f488d6-161e-42e4-ab01-b69725914a89,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Photot,0,,
Por,99f083ac-278e-488b-b9e9-88dcadfbfebf,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Por,0,,
Potexc,b48bc603-3ba8-45a9-9a5d-ceb7c80d8915,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potexc,0,,
Potext,ef63b62a-c995-495e-95bb-993a393a47c8,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potext,0,,
Potsol,bdf2fa99-43da-48e5-8110-e5ca41e0192b,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potsol,0,,
Pottot,00681f3b-5f61-4199-b505-4d5be9d96366,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Pottot,0,,
Selext,9fee2f39-b188-47d5-8c1d-3f296a00b4e1,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Selext,0,,
Seltot,e8cf7bb9-9393-4a2b-9fb0-5aaa74cc9eb3,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Seltot,0,,
Siloxa,eaf4ebd9-74d6-4c89-9084-700ea8fbd6ee,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Siloxa,0,,
Sodexc,3ef32e4b-a921-4cde-a0ca-b85755299fbc,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodexc,0,,
Sodexp,994ab9b9-e756-4ad9-89d5-df71ad748ef4,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodexp,0,,
Sodext,f06fd980-3a38-465d-8446-336b16b20ad3,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodext,0,,
Sodsol,b9492066-9f37-4794-912b-b2f1cffec668,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodsol,0,,
Sodtot,01a64a79-b383-4057-9068-c16ce0034f71,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodtot,0,,
Solsal,7ee4d784-3abd-4f52-8f14-13c4f964c7e0,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Solsal,0,,
Sul,849c3d8b-b572-496c-8d2b-f74e3cf6309d,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sul,0,,
Sulext,b1077f43-a994-4d15-8abe-f2bd3c4691a7,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sulext,0,,
Sultot,d8629550-4e68-4f9b-b03b-f396871e8d49,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sultot,0,,
Zin,534a2647-122a-46fe-86b6-84f2c927cb2e,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Zin,0,,
Zinext,236f8de3-72de-4532-8bb8-bcaa5115b4fb,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Zinext,0,,
pH,2422dfa9-82a2-4e73-9f63-630d055dcd43,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-pH,0,,
SWD1,a34df578-e959-49af-9def-bda0ab31abd6,http://w3id.org/glosis/model/codelists/sandPropertyCode-SWD1,0,,
SWD2,838a7c53-1d29-4746-ac09-de007c86ca53,http://w3id.org/glosis/model/codelists/sandPropertyCode-SWD2,0,,
SWD3,67eca92c-6f35-470c-a6c7-a10b0e327f34,http://w3id.org/glosis/model/codelists/sandPropertyCode-SWD3,0,,
SWD4,24a697c4-aac6-4fd1-828a-b3dfd22b8b2b,http://w3id.org/glosis/model/codelists/sandPropertyCode-SWD4,0,,
SWD5,291af6a3-db29-4ee4-a078-8378f921d62b,http://w3id.org/glosis/model/codelists/sandPropertyCode-SWD5,0,,
SWDT,96fc8e13-2b50-424e-9506-8710556fecbb,http://w3id.org/glosis/model/codelists/sandPropertyCode-SWDT,0,,
SWDF1,e1e50f31-f824-4789-af78-99288e5950b3,http://w3id.org/glosis/model/codelists/siltPropertyCode-SWDF1,0,,
SWDF2,c21091d2-9444-40bd-88bc-efc72f3ebfa8,http://w3id.org/glosis/model/codelists/siltPropertyCode-SWDF2,0,,
SWDFT,2881fb05-98b1-4c7c-8e4d-5e63085866c7,http://w3id.org/glosis/model/codelists/siltPropertyCode-SWDFT,0,,
CC,ecca9e14-4864-465a-9724-2fea4fca075b,http://w3id.org/glosis/model/codelists/clayPropertyCode-CC,0,,
CNC,ea29e06b-8041-4218-8292-53dbfda596a8,http://w3id.org/glosis/model/codelists/clayPropertyCode-CNC,0,,
CWT,c6420ef2-ae59-49fb-b5f3-f9f34f9ec472,http://w3id.org/glosis/model/codelists/clayPropertyCode-CWT,0,,
Cl,f53e6d21-7f11-4b4c-bfce-1e312632c3a3,http://w3id.org/glosis/model/codelists/textClayPropertyCode-Cl,0,,
Sa_ISO,728a5f08-c29d-4a80-86ea-6c6b31912e10,http://w3id.org/glosis/model/codelists/textSandPropertyCode-Sa_ISO,0,,
Sa_ISSS,e82a6dc3-54db-4159-8230-b6b2b1aebf97,http://w3id.org/glosis/model/codelists/textSandPropertyCode-Sa_ISSS,0,,
Sa_USDA,e1e1e2ad-87bc-4085-b024-015c052398e8,http://w3id.org/glosis/model/codelists/textSandPropertyCode-Sa_USDA,0,,
cSa_ISO,a6a333ea-2df7-4ea5-b8d7-fd62610f97c8,http://w3id.org/glosis/model/codelists/textSandPropertyCode-cSa_ISO,0,,
cSa_ISSS,cf397104-d4c8-46f3-8425-a569f6d4e210,http://w3id.org/glosis/model/codelists/textSandPropertyCode-cSa_ISSS,0,,
cSa_USDA,99eb7522-91fd-486d-a180-baf12d153064,http://w3id.org/glosis/model/codelists/textSandPropertyCode-cSa_USDA,0,,
fSa_ISO,a46c1b52-cee7-4b0b-9f7e-f9d5fcea5856,http://w3id.org/glosis/model/codelists/textSandPropertyCode-fSa_ISO,0,,
fSa_ISSS,6a922874-5135-4bf3-b96e-22ecde05a615,http://w3id.org/glosis/model/codelists/textSandPropertyCode-fSa_ISSS,0,,
fSa_USDA,76b83fe2-d86e-4976-a030-4b34cdb8d3b8,http://w3id.org/glosis/model/codelists/textSandPropertyCode-fSa_USDA,0,,
mSa_ISO,67b4c7e4-1f00-4b1a-a7e6-01a29d867b84,http://w3id.org/glosis/model/codelists/textSandPropertyCode-mSa_ISO,0,,
mSa_ISSS,2a31d91e-b8a2-48ac-bd0e-e324aae01479,http://w3id.org/glosis/model/codelists/textSandPropertyCode-mSa_ISSS,0,,
mSa_USDA,de88f7b3-708e-4ba8-b892-ce8eaac53054,http://w3id.org/glosis/model/codelists/textSandPropertyCode-mSa_USDA,0,,
vcSa_ISSS,379ded7d-716b-429a-bda1-0b4e954aad76,http://w3id.org/glosis/model/codelists/textSandPropertyCode-vcSa_ISSS,0,,
vcSa_USDA,f8c16e08-731d-4ac5-bb0f-76f4db28d19c,http://w3id.org/glosis/model/codelists/textSandPropertyCode-vcSa_USDA,0,,
vfSa_ISSS,1c6e7fc5-bcb6-4db5-8b6e-931a7118b7cd,http://w3id.org/glosis/model/codelists/textSandPropertyCode-vfSa_ISSS,0,,
vfSa_USDA,55bf74f3-940a-4825-842a-a595b8f8bf92,http://w3id.org/glosis/model/codelists/textSandPropertyCode-vfSa_USDA,0,,
Si_ISO,175f5de8-c1f3-4cb7-b7ef-f5a62e4a923d,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-Si_ISO,0,,
Si_ISSS,c2a3edf2-82a5-4623-b351-6c91111bde8f,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-Si_ISSS,0,,
Si_USDA,06be85b9-e16d-4609-b974-3addc06df264,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-Si_USDA,0,,
cSi_ISO,08f8bd3b-4443-4e9d-b34f-56bd70328e81,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-cSi_ISO,0,,
cSi_USDA,0ee1970f-c739-4cd3-b46d-da6f7d0694fd,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-cSi_USDA,0,,
fSi_ISO,09fbf88d-e3ce-48a4-9a23-8e7952d4bd4f,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-fSi_ISO,0,,
fSi_USDA,1f7c5a91-4753-422a-9710-64d5d0790137,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-fSi_USDA,0,,
mSi_ISO,f7830d2f-f26d-408b-9200-2b302c741cde,http://w3id.org/glosis/model/codelists/textSiltPropertyCode-mSi_ISO,0,,
WRG,f3a8965e-9371-48a2-b667-9f6f2f00fe26,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG,0,,
WRG10,76bf1b2b-436c-4ea1-9913-5fc598099d08,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG10,0,,
WRG100,6f6b7e16-b2a6-40e4-a930-5281b92abf7f,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG100,0,,
WRG1500,f155e61d-afb1-4ef9-8b99-1f7817d5554e,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG1500,0,,
WRG200,ea9a2990-2eb8-455b-9415-6bf52f4ecf84,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG200,0,,
WRG33,b6991e72-9e87-4486-a0db-f43da27d1ac7,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG33,0,,
WRG500,b43af117-a718-4741-9ed3-9372de6971a2,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG500,0,,
WRG6,4693fac2-d0da-4058-a8c9-77bfc7e02bc7,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRG6,0,,
WRV,4fad4a91-9959-423d-b09b-78e6dee08849,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV,0,,
WRV10,a8e5f075-0467-44cb-bbab-a979da17f1ee,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV10,0,,
WRV100,701a4cfb-9bca-4202-88f3-27dfa578f58d,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV100,0,,
WRV1500,d065a5df-8f3b-4952-9e43-3374aac2208a,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV1500,0,,
WRV200,5ef4a4c3-b726-40c4-a3f3-3b856b2c1535,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV200,0,,
WRV33,b30570f3-a499-4a43-9a1f-2c7e7e3014c2,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV33,0,,
WRV500,2479640a-f4ad-4a5e-8995-c2ae3f7bc22f,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV500,0,,
WRV6,c1a3d6d8-07ff-4b5d-a34f-9dab9ae3bc4a,http://w3id.org/glosis/model/codelists/waterRetentionPropertyCode-WRV6,0,,
