name,guid,definition,values_count,values_preview,values_file
landUseClass,4072bfd6-547d-4cf1-9a1d-f3f9e1a9031b,http://w3id.org/glosis/model/codelists/landUseClassValueCode,50,Agroforestry; Agropastoralism; Animal husbandry,values/landUseClassValueCode.csv
boundaryTopography,dde3a4b4-95ae-437d-83de-01e51f933af8,http://w3id.org/glosis/model/codelists/boundaryTopographyValueCode,4,Broken; Irregular; Smooth,values/boundaryTopographyValueCode.csv
landformComplex,a0df5bce-34de-443d-bd74-0923262eeff8,http://w3id.org/glosis/model/codelists/landformComplexValueCode,9,Cuesta-shaped; Dome-shaped; Dune-shaped,values/landformComplexValueCode.csv
bulkDensityMineral,3a6537c7-7866-4ce5-a98a-ea2c95f93f7f,http://w3id.org/glosis/model/codelists/bulkDensityMineralValueCode,5,"Knife can be pushed into the moist soil with weak pressure, sample disintegrates into few fragments, which may be further divided.; Knife penetrates only 1–2 cm into the moist soil, some effort required, sample disintegrates into few fragments, which cannot be subdivided further.; Many pores, moist materials drop easily out of the auger.",values/bulkDensityMineralValueCode.csv
lithology,579fb467-0153-4f3f-9e3c-87b1cc9612f6,http://w3id.org/glosis/model/codelists/lithologyValueCode,88,(green)schist; acid igneous; acid metamorphic,values/lithologyValueCode.csv
bulkDensityPeat,ecab7a7c-16dc-49e3-8a69-4387c7cde3f0,http://w3id.org/glosis/model/codelists/bulkDensityPeatValueCode,5,Low; Moderate high; Moderate low,values/bulkDensityPeatValueCode.csv
majorLandForm,4b9886ab-b838-4a4f-9715-31b68a57184b,http://w3id.org/glosis/model/codelists/majorLandFormValueCode,16,depression; dissected plain; high-gradient escarpment zone,values/majorLandFormValueCode.csv
mineralConcColour,3ae52955-c2f4-45ec-b628-32b9a85558d4,http://w3id.org/glosis/model/codelists/mineralConcColourValueCode,17,Black; Blue; Bluish-black,values/mineralConcColourValueCode.csv
carbonatesContent,9fcd867c-fc4d-427c-beca-5112b030f256,http://w3id.org/glosis/model/codelists/carbonatesContentValueCode,5,Extremely calcareous; Moderately calcareous; Non-calcareous,values/carbonatesContentValueCode.csv
mineralConcHardness,ece0eae1-f849-4ecf-b466-67834e554831,http://w3id.org/glosis/model/codelists/mineralConcHardnessValueCode,3,Both hard and soft.; Hard; Soft,values/mineralConcHardnessValueCode.csv
mineralConcKind,337fcb51-ba33-4dc4-9ad1-7772378ce0bd,http://w3id.org/glosis/model/codelists/mineralConcKindValueCode,9,Concretion; Crack infillings; Crystal,values/mineralConcKindValueCode.csv
mineralConcNature,a3d7b957-3adf-423f-ba25-ac5070ffd4a8,http://w3id.org/glosis/model/codelists/mineralConcNatureValueCode,14,Carbonates (calcareous); Carbonates–silica; Clay (argillaceous),values/mineralConcNatureValueCode.csv
mineralConcShape,56589846-0f0b-4c86-913d-b8795c6b30ac,http://w3id.org/glosis/model/codelists/mineralConcShapeValueCode,5,Angular; Elongated; Flat,values/mineralConcShapeValueCode.csv
mineralConcSize,19231507-3d71-4cb0-b4fd-c2646d947ff8,http://w3id.org/glosis/model/codelists/mineralConcSizeValueCode,4,Coarse; Fine; Medium,values/mineralConcSizeValueCode.csv
mineralConcVolume,f31153c3-375f-44ef-bfba-2e461350c198,http://w3id.org/glosis/model/codelists/mineralConcVolumeValueCode,7,Abundant; Common; Dominant,values/mineralConcVolumeValueCode.csv
mineralFragments,7a5ae2f2-47bf-417a-ac93-bc85d46049cf,http://w3id.org/glosis/model/codelists/mineralFragmentsValueCode,3,Feldspar; Mica; Quartz,values/mineralFragmentsValueCode.csv
mottlesAbundance,64cc7436-5c58-45f5-9577-47e6cba8c9da,http://w3id.org/glosis/model/codelists/mottlesAbundanceValueCode,6,Abundant; Common; Few,values/mottlesAbundanceValueCode.csv
